date,Airport,year,month,weekday,is_weekend,season,iso_country,type,scheduled_service,latitude_deg,longitude_deg,elevation_ft,prev_arr_delay_1d,prev_arr_delay_7d,rolling_arr_delay_7d,target_delayed_15,target_delay_minutes
2022-01-12,Munich,2022,1,2,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,3.020965608,5.030486358,6.306342535571429,0,5.221212121
2022-01-12,Nice,2022,1,2,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,8.119791667,5.67037037,7.816636052857143,0,5.651538462
2022-01-12,Palma de Mallorca,2022,1,2,0,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,1.552283105,3.696268657,3.4561995505714287,0,0.849765258
2022-01-12,Paris Orly,2022,1,2,0,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,5.435363248,6.632162162,8.18514352357143,0,7.978587196
2022-01-12,Rome Fiumicino,2022,1,2,0,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,3.192250531,9.589861751,7.059900474000001,0,5.17059448
2022-01-13,Barcelona,2022,1,3,0,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,6.675987362,3.917356322,5.630439716571429,0,5.651693405
2022-01-13,Brussels,2022,1,3,0,Winter,BE,heliport,no,50.90527,4.38936,209.0,7.887757202,9.507526882,10.966217186857142,0,10.39220273
2022-01-13,Frankfurt,2022,1,3,0,Winter,DE,heliport,no,50.145472,8.708981,209.0,9.933970856,12.15100077,13.328665655714286,0,9.615645311
2022-01-13,Madrid Barajas,2022,1,3,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,4.965022831,3.359744991,6.17651067,0,3.869001832
2022-01-13,Milan Malpensa,2022,1,3,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,15.80201699,13.15500821,13.53650581857143,0,10.7617357
2022-01-13,Munich,2022,1,3,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,5.221212121,5.717685851,6.333589073142858,0,3.66838843
2022-01-13,Nice,2022,1,3,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,5.651538462,6.333666667,7.813945780285715,0,6.386752137
2022-01-13,Palma de Mallorca,2022,1,3,0,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,0.849765258,2.984514436,3.049556207857143,0,2.706041667
2022-01-13,Paris Orly,2022,1,3,0,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,7.978587196,5.056752137,8.377489957,0,3.936518047
2022-01-13,Rome Fiumicino,2022,1,3,0,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,5.17059448,5.960714286,6.428576578142858,0,4.224791667
2022-01-14,Barcelona,2022,1,4,0,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,5.651693405,4.84156746,5.878202157,0,4.443693694
2022-01-14,Brussels,2022,1,4,0,Winter,BE,heliport,no,50.90527,4.38936,209.0,10.39220273,10.69886179,11.092599450857142,0,6.267261905
2022-01-14,Frankfurt,2022,1,4,0,Winter,DE,heliport,no,50.145472,8.708981,209.0,9.615645311,16.88245228,12.966472018714285,0,12.03819797
2022-01-14,Madrid Barajas,2022,1,4,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,3.869001832,5.801272578,6.2492616472857145,0,2.714112228
2022-01-14,Milan Malpensa,2022,1,4,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,10.7617357,13.32998512,13.194609745714285,0,11.23120063
2022-01-14,Munich,2022,1,4,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,3.66838843,4.164285714,6.040832298714286,0,5.400877193
2022-01-14,Nice,2022,1,4,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,6.386752137,8.442182891,7.821529418857144,0,8.622429907
2022-01-14,Palma de Mallorca,2022,1,4,0,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,2.706041667,3.985463659,3.009774383714286,0,4.188011696
2022-01-14,Paris Orly,2022,1,4,0,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,3.936518047,8.025323625,8.21745651557143,0,4.23537037
2022-01-14,Rome Fiumicino,2022,1,4,0,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,4.224791667,6.004519774,6.180587632571429,0,4.00525
2022-01-15,Barcelona,2022,1,5,1,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,4.443693694,8.440174129,5.821363047571428,0,6.606818182
2022-01-15,Brussels,2022,1,5,1,Winter,BE,heliport,no,50.90527,4.38936,209.0,6.267261905,19.17425926,10.459513753,0,9.931707317
2022-01-15,Frankfurt,2022,1,5,1,Winter,DE,heliport,no,50.145472,8.708981,209.0,12.03819797,21.64134752,12.274435688714286,1,15.14014252
2022-01-15,Madrid Barajas,2022,1,5,1,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,2.714112228,6.537056277,5.808238740142857,0,4.508013766
2022-01-15,Milan Malpensa,2022,1,5,1,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,11.23120063,16.9054078,12.89478339,0,10.76470588
2022-01-15,Munich,2022,1,5,1,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,5.400877193,10.70874862,6.217488224285715,0,7.054431217
2022-01-15,Nice,2022,1,5,1,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,8.622429907,10.08663194,7.847278992571428,0,3.217910448
2022-01-15,Palma de Mallorca,2022,1,5,1,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,4.188011696,4.946624473,3.0387098175714287,0,6.755740741
2022-01-15,Paris Orly,2022,1,5,1,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,4.23537037,11.86986028,7.676034622,0,6.046244131
2022-01-15,Rome Fiumicino,2022,1,5,1,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,4.00525,6.527910686,5.894977664857143,0,4.651175214
2022-01-16,Barcelona,2022,1,6,1,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,6.606818182,7.719646182,5.559455055142857,0,3.358712121
2022-01-16,Brussels,2022,1,6,1,Winter,BE,heliport,no,50.90527,4.38936,209.0,9.931707317,14.37317073,9.139149189714285,0,10.17747475
2022-01-16,Frankfurt,2022,1,6,1,Winter,DE,heliport,no,50.145472,8.708981,209.0,15.14014252,13.75045423,11.345692117285713,0,11.141
2022-01-16,Madrid Barajas,2022,1,6,1,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,4.508013766,9.252859477,5.518375524285714,0,4.463773748
2022-01-16,Milan Malpensa,2022,1,6,1,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,10.76470588,16.01892523,12.017540258571428,0,10.39684959
2022-01-16,Munich,2022,1,6,1,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,7.054431217,9.739570231,5.695442881,0,6.272409488
2022-01-16,Nice,2022,1,6,1,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,3.217910448,8.9616,6.866033065142857,0,6.903768116
2022-01-16,Palma de Mallorca,2022,1,6,1,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,6.755740741,4.501793249,3.297154998714286,0,1.024092409
2022-01-16,Paris Orly,2022,1,6,1,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,6.046244131,11.26666667,6.844089457857144,0,5.013856589
2022-01-16,Rome Fiumicino,2022,1,6,1,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,4.651175214,9.796905767,5.626872597428571,0,3.84558011
2022-01-17,Barcelona,2022,1,0,0,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,3.358712121,3.748703704,4.936464475,0,3.852073733
2022-01-17,Brussels,2022,1,0,0,Winter,BE,heliport,no,50.90527,4.38936,209.0,10.17747475,8.071944444,8.539764049714286,0,14.27558386
2022-01-17,Frankfurt,2022,1,0,0,Winter,DE,heliport,no,50.145472,8.708981,209.0,11.141,9.586388889,10.972912941571428,0,14.43912678
2022-01-17,Madrid Barajas,2022,1,0,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,4.463773748,7.404599156,4.834220420142857,0,4.151801802
2022-01-17,Milan Malpensa,2022,1,0,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,10.39684959,10.94644097,11.214386595714284,0,13.74701349
2022-01-17,Munich,2022,1,0,0,Winter,DE,large_airport,yes,48.353802,11.7861,1487.0,6.272409488,5.762655367,5.200134203428571,0,5.95390625
2022-01-17,Nice,2022,1,0,0,Winter,FR,heliport,no,43.68944549560547,7.241666793823242,115.0,6.903768116,7.102208835,6.572057081714285,0,7.742857143
2022-01-17,Palma de Mallorca,2022,1,0,0,Winter,ES,large_airport,yes,39.551701,2.73881,27.0,1.024092409,2.526449275,2.8003405930000005,0,5.237111111
2022-01-17,Paris Orly,2022,1,0,0,Winter,FR,large_airport,yes,48.729499,2.358963,291.0,5.013856589,9.009876543,5.950830874857144,0,5.345856874
2022-01-17,Rome Fiumicino,2022,1,0,0,Winter,IT,large_airport,yes,41.804532,12.251998,13.0,3.84558011,8.347140523,4.776683217857142,0,4.00217803
2022-01-18,Barcelona,2022,1,1,0,Winter,ES,large_airport,yes,41.2971,2.07846,12.0,3.852073733,4.069642857,4.951231622000001,0,3.525249501
2022-01-18,Brussels,2022,1,1,0,Winter,BE,heliport,no,50.90527,4.38936,209.0,14.27558386,7.05,9.425998252,0,11.71822917
2022-01-18,Frankfurt,2022,1,1,0,Winter,DE,heliport,no,50.145472,8.708981,209.0,14.43912678,9.355045045,11.666161211714284,0,11.20192878
2022-01-18,Madrid Barajas,2022,1,1,0,Winter,ES,large_airport,yes,40.493407,-3.572249,1998.0,4.151801802,5.91501938,4.369535083857143,0,5.890306627
2022-01-18,Milan Malpensa,2022,1,1,0,Winter,IT,large_airport,yes,45.6306,8.72811,768.0,13.74701349,8.59775641,11.614468384285713,0,9.001602564
